序号,求职者id,姓名,期望岗位,性别,年龄,居住地址,工作经验,自我评价,期望薪资低,期望薪资高,工作性质,期望行业,工作地区,到岗时间,简历关键词,学历,学科专业
11,1648621861036228608,张女士,"[""数据分析师""]",1,21,"[""广东省"",""广州市"",""天河区""]",无经验,"本科毕业，具有多年的比赛经验，曾获数据挖掘一等奖，数据分析一等奖，数学竞赛二等奖，数学建模一等奖，练习时长两年半。
",7000,8000,1,[],"[""广东省"",""广州市"",""天河区""]",随时到岗,[],,
12,1648621300526219264,蔡先生,"[""计算机视觉工程师""]",0,5,"[""福建省"",""莆田市"",""涵江区""]",4年工作经验,法律改革,6000,10000,1,"[""网络设备""]","[""北京市"",""北京市"",""东城区""]",1周后到岗,[],,
13,1648345891960127488,蔡女士,"[""其他""]",1,0,"[""山东省"",""菏泽市"",""曹县""]",6年工作经验,再看一眼就会爆炸,3000,6000,1,[],"[""山东省"",""菏泽市"",""曹县""]",,[],,
14,1647944223779061760,傻女士,"[""数据挖掘工程师"",""算法工程师"",""自然语言处理工程师""]",1,24,"[""北京市"",""北京市"",""西城区""]",5年工作经验,我TM就是一个傻杯,3000,5000,1,"[""游戏""]","[""天津市"",""天津市"",""河东区""]",2周后到岗,[],,
15,1647579226406256640,练先生,"[""数据挖掘工程师"",""数据分析师"",""算法工程师""]",0,0,"[""江苏省"",""南京市"",""玄武区""]",2年工作经验,精通...,10000,15000,1,"[""电子商务""]","[""上海市"",""上海市"",""黄浦区""]",随时到岗,[],,
16,1647012656068034560,丽女士,"[""数据挖掘工程师"",""自然语言处理工程师"",""数据分析师""]",1,31,"[""北京市"",""北京市"",""东城区""]",3年工作经验,善于交际，认真负责,7000,12000,1,"[""数据服务"",""通信设备""]","[""北京市"",""北京市"",""东城区""]",2周后到岗,[],,
17,1646747130699841536,赵女士,"[""数据分析师""]",1,24,"[""浙江省"",""杭州市"",""钱塘区""]",无经验,泰迪杯挑战赛二等奖,3000,6000,1,"[""医疗健康"",""互联网""]","[""浙江省"",""杭州市"",""滨江区""]",随时到岗,"['泰迪杯', '挑战赛二等奖']",,
18,1645422304206913536,林先生,"[""数据分析师"",""数据挖掘工程师""]",0,23,"[""广东省"",""广州市"",""海珠区""]",无经验,熟悉Python、SPSS、JavaScript、MATLAB、C++等多门编程语言和数据分析工具，掌握数据挖掘、数学建模、机器学习、小程序开发等技能，兴趣广泛，学习能力强。,4000,6000,0,"[""互联网""]","[""广东省"",""广州市"",""海珠区""]",时间待议,"['数据分析', '数据挖掘']",本科 ,信息与计算科学 
19,1646186991626354688,中先生,"[""数据分析师""]",0,0,"[""天津市"",""天津市"",""和平区""]",无经验,awdawd,3000,4000,1,"[""不限""]","[""北京市"",""北京市"",""东城区""]",随时到岗,[],,
20,1645750326164324352,什先生,"[""机器学习工程师"",""数据挖掘工程师""]",0,24,"[""天津市"",""天津市"",""和平区""]",2年工作经验,熟练使用python、c++等工具,3000,5000,1,"[""互联网""]","[""天津市"",""天津市"",""河东区""]",1周后到岗,['1'],博士 ,lkl 
21,1645385086935367680,李先生,"[""其他""]",0,21,"[""吉林省"",""四平市"",""铁西区""]",10年以上工作经验,非常厉害，并且会鸡你太美,10000,14000,1,[],"[""北京市"",""北京市"",""海淀区""]",,['鸡你太美'],,
22,1639549004641599488,陈先生,"[""数据挖掘工程师"",""数据分析师"",""机器学习工程师""]",0,22,"[""广东省"",""中山市"",""中山""]",无经验,"掌握python、C语言的基础编程以及常用操作；
熟 悉numpy、pandas、 tensorFlow架构；
熟悉 MySQL 数据库，熟练编写 SQL 语句；
掌握 机器学习的基础算法；",6000,10000,1,"[""不限"",""互联网"",""数据服务""]","[""广东省"",""广州市"",""黄埔区""]",1周后到岗,[],,
23,1627308899029876736,张先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",0,23,"[""河南省"",""郑州市"",""中原区""]",无经验,熟悉VR游戏制作，UE5虚拟引擎，精通C++、Python、matlab等编程语言。七年编程经验。熟悉pytorch、TensorFlow等深度学习框架。主要熟悉的领域有图像、NLP、强化学习，模拟飞行器开发、游戏开发、网页爬虫、网站逆向分析等。,50000,55000,1,"[""互联网"",""游戏"",""计算机软件""]","[""广东省"",""广州市"",""番禺区""]",随时到岗,"['深度学习', '网页逆向分析']",,
24,1643560323032154112,王先生,"[""自然语言处理工程师"",""数据分析师""]",0,33,"[""广东省"",""广州市"",""荔湾区""]",3年工作经验,熟练掌握python，Java编程技术，有前端开发经验,9000,13000,1,"[""互联网"",""信息安全""]","[""广东省"",""广州市"",""荔湾区""]",随时到岗,['阳光开朗大男孩'],,
26,1640319370922164224,文女士,"[""数据分析师""]",1,23,"[""浙江省"",""杭州市"",""西湖区""]",无经验,无,9000,11000,1,"[""金融"",""互联网""]","[""浙江省"",""杭州市"",""拱墅区""]",随时到岗,[],,
27,1639531141977473024,毕先生,"[""数据分析师"",""数据挖掘工程师"",""自然语言处理工程师""]",0,0,"[""北京市"",""北京市"",""西城区""]",10年以上工作经验,啥都会,9000,14000,1,"[""互联网""]","[""天津市"",""天津市"",""河西区""]",随时到岗,[],,
28,1637801716407730176,节先生,"[""图像处理工程师"",""计算机视觉工程师"",""机器学习工程师""]",0,4,"[""天津市"",""天津市"",""河西区""]",10年以上工作经验,啥都会,50000,55000,1,[],"[""山西省"",""长治市"",""潞城区""]",,[],,
29,1637791761638227968,地先生,"[""算法工程师"",""数据挖掘工程师"",""计算机视觉工程师""]",0,23,"[""河北省"",""邯郸市"",""复兴区""]",4年工作经验,啥都会,3000,6000,1,"[""互联网"",""电子商务"",""金融""]","[""河北省"",""秦皇岛市"",""北戴河区""]",随时到岗,[],,
30,1635610357617786880,欧先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",0,21,"[""广东省"",""广州市"",""天河区""]",无经验,Python 数据分析,3000,4000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",时间待议,['数据分析'],,
31,1634019092572798976,赖女士,"[""数据分析师""]",1,0,"[""江苏省"",""南京市"",""江宁区""]",无经验,无,4000,5000,1,"[""互联网""]","[""江苏省"",""南京市"",""江宁区""]",随时到岗,[],,
32,1632947816114552832,梁先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",0,22,"[""广东省"",""东莞市"",""东莞""]",1年工作经验,熟练操作python 、爬虫、sql语句、excel和powerbi等软件,6000,7000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",随时到岗,[],本科 ,统计学 
33,1632286586903330816,钟先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",0,25,"[""广东省"",""广州市"",""天河区""]",无经验,"本人是一名退伍军人,保留军人本色,为人平和,对待工作严谨,具备敏锐的观察力,对数字敏感, 熟悉 Linux,熟练运用 SQL、excel、PowerBi、SPSS、Python 等软件独立完成数据收集、整理、清洗、分析及可视化、挖掘,同时具备大数据相关组件构成的项目经验。",4000,6000,1,"[""不限""]","[""广东省"",""广州市"",""黄埔区""]",随时到岗,[],,
34,1579833809761861632,李先生,"[""数据分析师"",""数据挖掘工程师""]",0,23,"[""广东省"",""中山市"",""中山""]",无经验,"担任过班干、技术部部长、项目负责人因此具有一定组织力，
技术方面：荣获python编程国赛三等奖及人社部python程序员三级职业技能证书，科大讯飞1+X中级数据分析师。",4000,8000,1,"[""不限""]","[""广东省"",""深圳市"",""南山区""]",时间待议,"['python', '数据分析', '机器学习', '深度学习']",,
35,1631284316023685120,赖先生,"[""数据分析师"",""其他"",""数据挖掘工程师""]",0,22,"[""广东省"",""深圳市"",""龙岗区""]",无经验,"熟悉MySQL和Python
",3000,6000,1,"[""不限""]","[""广东省"",""深圳市"",""宝安区""]",1周后到岗,[],,
36,1631491020585828352,陈先生,"[""数据分析师"",""数据挖掘工程师"",""其他""]",0,23,"[""广东省"",""惠州市"",""博罗县""]",无经验,"熟练使用 Python 语言，了解基础机器学习和深度学习算法和模型，多次参加数据类比赛并获奖，有一定的数据分析经验和能力。对数据库基础操作基本掌握。
",5000,7000,0,"[""不限""]","[""广东省"",""深圳市"",""宝安区""]",2周后到岗,[],本科 ,统计学 
37,1631135062105915392,潘先生,"[""其他""]",0,22,"[""广东省"",""茂名市"",""信宜市""]",无经验,富有团队合作精神，善于与他人沟通交流； 处事态度细心谨慎，责任心强。具有扎实的数据科学专业基础知识，掌握常见的数据挖掘和分析方法。多次参加大学生学科竞赛的经验，熟悉数据分析/数据挖掘模型的建立，能够独立完成、撰写数据分析报告。,3000,5000,1,[],"[""广东省"",""广州市"",""天河区""]",1周后到岗,"['Python', 'Linux', 'SQL']",本科 ,数据科学与大数据技术 
38,1630852451164880896,潘先生,"[""数据分析师"",""数据挖掘工程师""]",0,22,"[""广东省"",""茂名市"",""信宜市""]",无经验,富有团队合作精神，善于与他人沟通交流； 处事态度细心谨慎，责任心强。具有扎实的数据科学专业基础知识，掌握常见的数据挖掘和分析方法。多次参加大学生学科竞赛的经验，熟悉数据分析/数据挖掘模型的建立，能够独立完成、撰写数据分析报告。,3000,6000,0,"[""不限""]","[""广东省"",""广州市"",""天河区""]",1周后到岗,['Python'],本科 ,数据科学与大数据技术 
39,1631126636327993344,潘先生,"[""其他""]",0,22,"[""广东省"",""茂名市"",""信宜市""]",无经验,富有团队合作精神，善于与他人沟通交流； 处事态度细心谨慎，责任心强。具有扎实的数据科学专业基础知识，掌握常见的数据挖掘和分析方法。多次参加大学生学科竞赛的经验，熟悉数据分析/数据挖掘模型的建立，能够独立完成、撰写数据分析报告。,3000,5000,0,"[""不限""]","[""广东省"",""深圳市"",""宝安区""]",1周后到岗,"['Python', 'Linux']",本科 ,数据科学与大数据技术 
40,1630105867208753152,陈先生,"[""数据分析师"",""自然语言处理工程师"",""机器学习工程师""]",0,23,"[""广东省"",""肇庆市"",""广宁县""]",无经验,"1. 熟练使用python及其相关库操作。
2. 熟练Mysql数据库，熟悉标准SQL语句及存储过程。
3. 熟练掌握机器学习、深度学习技术。
4.有数理专业知识基础，了解常见的建模方法和流程。
5.善于分析与解决问题，有自己独立的分析思路，以及良好的编程风格。 
",3000,5000,1,"[""互联网"",""数据服务"",""电子商务""]","[""广东省"",""广州市"",""天河区""]",随时到岗,[],,
41,1630884821167374336,李女士,"[""数据分析师""]",1,23,"[""广东省"",""广州市"",""白云区""]",1年工作经验,为人正直真诚，活泼开朗，且好学上进，工作学习态度严谨认真，责任心强；有较强的组织能力和适应能力，并具有良好的身体素质，乐于沟通，具备良好的沟通能力和团队协作能力，有团队精神，能快速融入团队；有很强的抗压能力，能承担较大的工作量及较强的工作压力,5000,8000,0,"[""电子商务"",""游戏"",""不限""]","[""广东省"",""广州市"",""白云区""]",时间待议,['大数据分析师'],本科 ,应用统计学 
42,1630818546172952576,陈先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",0,23,"[""广东省"",""广州市"",""天河区""]",无经验,本人认真刻苦、性格开朗，熟练使用 Python 的pandas、numpy、matplotlib等基础库，熟悉使用 MySQL数据库的增删改查，积极参与社会实践和项目锻炼，积极参加大多数的建模比赛，有较为丰富的模型建立，较为丰富的数据分析能力，能从不同角度进行问题的分析。,6000,8000,1,[],"[""广东省"",""广州市"",""天河区""]",1周后到岗,"['数据分析', 'python', 'MySQL']",本科 ,统计学 
43,1623885034161307648,田女士,"[""其他""]",1,24,"[""云南省"",""昆明市"",""官渡区""]",无经验,勤奋踏实，肯吃苦，有良好的沟通和表达能力，学习新事物能力强。语言表达清晰，有较强的逻辑思维能力。文字编纂能力较强。,3000,4000,1,"[""不限""]","[""广东省"",""广州市"",""黄埔区""]",随时到岗,[],,
44,1614575985309646848,唐女士,"[""数据分析师"",""其他""]",1,22,"[""重庆市"",""重庆市"",""彭水苗族土家族自治县""]",无经验,个人擅长与人沟通，且有良好的抗压能力，并且能够承担相应的工作任务，吃苦耐劳，对事情比较专注，且有很强的责任心,5000,8000,1,"[""不限""]","[""重庆市"",""重庆市"",""渝中区""]",随时到岗,[],,
45,1599636587363303424,胡先生,"[""数据分析师""]",0,22,"[""广东省"",""广州市"",""天河区""]",无经验,"具备自我独立完成任务的能力，也能很好融入集体，具有集体荣誉感以及责任感
喜欢具有挑战性的任务，对待事物认真仔细
喜欢自我思考以及换位思考
对于新知识接受快,学习能力强",6000,11000,1,[],"[""广东省"",""深圳市"",""龙岗区""]",1个月后到岗,"['数据分析', 'python', '机器学习', 'MySQL', '自然语言处理']",本科 ,应用统计学 
46,1584881617820844032,林先生,"[""数据分析师"",""数据挖掘工程师""]",0,22,"[""广西壮族自治区"",""桂林市"",""灵川县""]",无经验,"信息与计算科学专业，c,c++有一定的基础知识，能够使用python进行编程，在校学习过数据库原理，",8000,10000,1,"[""不限""]","[""广东省"",""广州市"",""白云区""]",时间待议,[],,
47,1529487074560966656,史先生,"[""数据分析师""]",0,22,"[""广东省"",""广州市"",""天河区""]",无经验,"会Excel，Word，PowerPoint，sql，python、spss
得过校奖学金",7000,9000,1,"[""互联网""]","[""广东省"",""深圳市"",""罗湖区""]",1周后到岗,[],,
48,1583024721031725056,王女士,"[""数据分析师"",""数据挖掘工程师""]",1,22,"[""湖北省"",""武汉市"",""江夏区""]",无经验,"熟悉c/c++、以及数据结构和各种基本算法；
熟悉sql语言，了解mysql数据库的使用；
会用R语言，matlab语言进行简单的数据分析;
掌握办公室word、excel、powerpoint基本软件操作;",5000,7000,1,"[""互联网"",""数据服务"",""O2O""]","[""湖北省"",""武汉市"",""武昌区""]",随时到岗,[],本科 ,信息与计算科学 
49,1582598236647063552,黄先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",0,23,"[""广东省"",""广州市"",""天河区""]",1年工作经验,有扎实的统计学基础； 有强大的自我驱动能力，对于新事物能够保持高昂的学习热情，对工作认真严谨负责；有良好的代码编写习惯，熟悉各种聚类算法、分类算法、回归算法；有较为良好的可视化基础能够构建可视化大屏，同时对数据有较高的敏感度；有较多的项目和竞赛经验，且在多次大型比赛中小有成绩,8000,12000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",时间待议,"['互联网', '数据分析', '数据挖掘', '机器学习', '数据建模']",本科 ,统计学 
50,1574625077318778880,谢女士,"[""Hadoop大数据开发工程师"",""数据分析师""]",1,23,"[""湖南省"",""湘潭市"",""雨湖区""]",无经验,本人本科学的是计算机数据科学与大数据技术专业，熟悉hadoop大数据生态组件，如HDFS文件系统、MapReduce和yarn、能运用Hadoop架构实现大数据处理；掌握SQL语法及函数的使用； 具有持续学习和持续进步的自驱力，良好的沟通协作能力,9000,11000,1,[],"[""广东省"",""深圳市"",""南山区""]",时间待议,[],,
51,1573938917198135296,李女士,"[""Hadoop大数据开发工程师""]",1,22,"[""湖南省"",""湘潭市"",""雨湖区""]",无经验,"掌握Java、Python的基础语法，以及常用的数据结构与算法
掌握Hadoop、Hive 、Spark的基本原理以及使用，使用过Flume、Sqoop、Azkaban、Zookeeper、Kafka等组件
掌握SQL语法及函数的使用，以及相应的索引原理、存储引擎、事务等
掌握Linux系统的常用命",10000,15000,1,"[""互联网""]","[""广东省"",""广州市"",""番禺区""]",,[],本科 ,数据科学与大数据技术 
52,1569987734318219264,马先生,"[""数据分析师"",""数据挖掘工程师"",""图像处理工程师""]",0,23,"[""广西壮族自治区"",""南宁市"",""兴宁区""]",1年工作经验," 工作积极认真，细心负责，适应能力强、学习能力强、性格开朗、善于创新、敢于迎接挑战。
 熟练运用办公自动化软件，有较强的编程能力和分析能力。
 掌握 python、SAS、matlab 等软件；熟悉 SQL、C 语言、R 语言等编程软件。",8000,12000,1,"[""互联网"",""媒体"",""数据服务""]","[""广东省"",""广州市"",""天河区""]",时间待议,[],本科 ,应用统计学 
53,1569514123790778368,杨先生,"[""数据分析师""]",0,22,"[""湖北省"",""武汉市"",""洪山区""]",无经验,"1.本人性格稳重随和、谈吐幽默风趣、具有优秀的社交能力和的组织协调能力。
2.适应能力强、可塑性高、具有进取精神和团队荣誉感。
3.强烈事业心和责任感使我能够面对任何困和和挑战。",7000,10000,0,"[""互联网""]","[""湖北省"",""武汉市"",""洪山区""]",时间待议,[],,
54,1562334736783900672,黄先生,"[""数据分析师"",""数据挖掘工程师""]",0,23,"[""广东省"",""广州市"",""天河区""]",无经验,掌握python基础技能，有数据挖掘，数据分析经历，能通过python对大数据进行分析与预测。积极向上，学习能力强,4000,8000,1,"[""不限""]","[""广东省"",""广州市"",""天河区""]",随时到岗,[],本科 ,信息与计算科学 
55,1554782002648055808,李女士,"[""数据分析师"",""数据挖掘工程师""]",1,24,"[""广东省"",""广州市"",""白云区""]",1年工作经验,"1、性格开朗外向，珍惜每一次学习机会，有较好的自学能力以及自我管理能力。
2、专业水平扎实，成绩优异，多次担任班干部，团队意识以及领导能力较强。
3、有半年的数据分析实习经验，并在实习期间按期完成工作任务，取得不错的成绩。
4、具有一定的抗压能力，能吃苦，对生活充满热情，做事认真，严谨。",6000,10000,1,"[""互联网"",""金融"",""在线教育""]","[""广东省"",""广州市"",""黄埔区""]",1周后到岗,[],本科 ,统计学 
56,1550096565136392192,蓝先生,"[""数据分析师"",""其他""]",0,22,"[""广东省"",""梅州市"",""兴宁市""]",1年工作经验,本人有较强的组织协调能力、活动策划能力和公关能力;具有良好的团队精神，善于与人沟通和协作;社会实践能力强，对新事物接受能力快。能熟悉掌握办公软件（word、excel、PPT）。,3000,5000,0,"[""不限""]","[""广东省"",""广州市"",""番禺区""]",时间待议,[],本科 ,数学与应用数学精算专业 
57,1541793867911790592,殷先生,"[""其他""]",0,24,"[""湖南省"",""长沙市"",""开福区""]",1年工作经验,具有较强的逻辑分析和再学习能力，对前端领域有所认知，积极进取，勇于挑战，为人热情，工作勤奋刻苦，出色团队意识，强烈的责任感，适应较强的工作强度，适应加班。,6000,8000,1,"[""不限""]","[""广东省"",""深圳市"",""龙岗区""]",2周后到岗,['前端开发'],本科 ,网络工程 
58,1461666278635864064,张先生,"[""数据挖掘工程师"",""算法工程师""]",0,31,"[""陕西省"",""咸阳市"",""杨陵区""]",1年工作经验,积极参加学术研究，具有钻研精神,10000,15000,1,"[""互联网""]","[""广东省"",""深圳市"",""宝安区""]",时间待议,"['项目经验', '机器学习', '计量分析']",本科 硕士 ,农业机械化及其自动化 管理科学与工程 
59,1461663453243637760,廖女士,"[""数据分析师""]",1,23,"[""重庆市"",""重庆市"",""渝中区""]",无经验,"对数据挖掘分析及可视化兴趣强；
能较好地运用python和R；
性格开朗乐观，善于沟通；
学习能力较强；
有良好的团队精神，在工作中注意 团队沟通协作；
为人 诚恳，做事积极。",6000,9000,0,"[""互联网""]","[""重庆市"",""重庆市"",""渝中区""]",1周后到岗,"['项目管理', '数据分析']",本科 ,数据科学与大数技术 
60,1530030540420415488,许女士,"[""数据分析师""]",1,23,"[""广东省"",""汕头市"",""潮南区""]",无经验,"（1）做事注重细节和效率。在担任辅导员助理期间，协助老师完成多项学生工作，具备办公经验与沟通能力。
（2）数据分析能力。具备专业知识能力，参与多次学科竞赛，锻炼数据分析能力，曾获得2020年全国大学生数学建模竞赛一等奖。",7000,10000,1,"[""不限""]","[""广东省"",""广州市"",""海珠区""]",随时到岗,['数据分析'],本科 ,应用统计学 
61,1529093815066034176,梁先生,"[""数据挖掘工程师"",""数据分析师"",""机器学习工程师""]",0,23,"[""广东省"",""韶关市"",""浈江区""]",无经验,"1、有一定的自学能力。
2、有较强的好奇心。
3、参加过数据分析、数据挖掘的比赛经验
4、有一定的matlab、python编程经验",3000,5000,1,[],"[""广东省"",""广州市"",""海珠区""]",时间待议,[],本科 ,信息与计算科学 
62,1461659304984707072,朱女士,"[""数据挖掘工程师"",""Hadoop大数据开发工程师""]",1,25,"[""广东省"",""广州市"",""黄埔区""]",无经验,主修课程包括数学分析、线性代数、C语言、概率论、Python语言基础、java程序设计、数据挖掘、文本挖掘、数学建模、深度学习等。喜欢泡CSDN论坛,6000,8000,0,"[""互联网"",""数据服务""]","[""广东省"",""广州市"",""天河区""]",随时到岗,"['深度学习', '三级网络技术', 'Office软件', 'CET4']",本科 ,信息与计算科学 
63,1461648125990141952,王先生,"[""数据挖掘工程师"",""数据分析师"",""机器学习工程师""]",0,30,"[""广东省"",""广州市"",""海珠区""]",1年工作经验,有良好的计算机与数理统计基础，以及英语阅读能力，熟悉数据数据结构与常见的算法如分治算法、动态规划；熟悉统计学和数据挖掘常用基本原理如回归分析，方差分析，主成分分析，神经网络，聚类等；熟悉常见的机器学习算法如K近邻、朴素贝叶斯、决策树、apriori、adaboost、EM算法等,12000,15000,1,"[""金融"",""互联网"",""电子商务""]","[""广东省"",""广州市"",""海珠区""]",2周后到岗,"['计算机专业', '数学基础扎实', '熟悉算法']",本科 硕士 ,信息与计算科学 应用统计学 
64,1461614384609624064,岑女士,"[""数据分析师""]",1,24,"[""广西壮族自治区"",""南宁市"",""青秀区""]",1年工作经验,在学习中，谦虚好学，积极进取，刻苦钻研。在工作中，认真负责，积极主动，能吃苦耐劳，有较强的的独立生活能力。大学期间，担任班级干部，并且兼任寝室长多年，有较强的组织能力、动手能力和团体协作精神。具有独特的想法，喜欢创新，有责任感和敬业精神，有崇高的理想。,5000,8000,1,"[""金融"",""电子商务""]","[""广西壮族自治区"",""南宁市"",""青秀区""]",随时到岗,"['喜欢创新', 'Python', 'PS', '网页设计']",本科 ,计算机科学与技术 
65,1461601893229920256,林先生,"[""数据分析师""]",0,25,"[""广东省"",""广州市"",""天河区""]",无经验,"主修金融数学专业，熟悉数学以及金融专业知识；
有班长工作的经历，拥有不错的领导组织能力和团队精神；
关注数据分析行业，熟悉数据分析工作，对数据有敏锐的嗅觉以及数据的处理能力。",6000,10000,1,"[""金融""]","[""广东省"",""广州市"",""越秀区""]",2周后到岗,"['数据分析', '团队精神']",本科 ,金融数学 
66,1524204652525125632,请先生,"[""数据分析师""]",0,1,"[""北京市"",""北京市"",""东城区""]",无经验,qqqq,3000,5000,1,"[""电子商务""]","[""北京市"",""北京市"",""东城区""]",随时到岗,[],,
67,1523993408442597376,余先生,"[""其他"",""数据分析师"",""机器学习工程师""]",0,22,"[""广东省"",""广州市"",""天河区""]",无经验,对待工作认真负责，善于沟通、协调有较强的组织能力与团队精神；活泼开朗、乐观上进、有爱心并善于施教并行；上进心强、勤于学习能不断提高自身的能力与综合素质。,3000,4000,0,"[""互联网"",""游戏"",""计算机软件""]","[""广东省"",""广州市"",""白云区""]",随时到岗,"['前端开发', 'HTML', 'CSS', 'Java']",大专 ,软件技术 
68,1507237125567938560,焦先生,"[""数据分析师"",""数据挖掘工程师""]",0,33,"[""广东省"",""广州市"",""黄埔区""]",1年工作经验,tyyy,4000,6000,1,"[""互联网""]","[""广东省"",""广州市"",""黄埔区""]",,[],,
69,1469173034668654592,徐先生,"[""数据分析师"",""数据挖掘工程师"",""机器学习工程师""]",0,23,"[""广东省"",""广州市"",""天河区""]",无经验,"工作方面：对大数据分析、挖掘以及深度学习有极大热情，具备一定的数据分析、挖掘能力；
社交方面：在校任职、兼职期间，做到尽职尽责，具有良好的沟通能力、团队合作能力 。
",8000,13000,1,"[""互联网""]","[""广东省"",""广州市"",""天河区""]",时间待议,"['数据分析挖掘', '机器学习', '深度学习', '计算机视觉']",本科 ,统计学 
70,1461530285551255552,易女士,"[""数据分析师"",""数据挖掘工程师""]",1,30,"[""广东省"",""广州市"",""天河区""]",4年工作经验,热爱数学,12000,15000,2,"[""互联网""]","[""广东省"",""广州市"",""天河区""]",随时到岗,"['产品策划', '在线教育']",本科 ,应用统计学 
71,1516604454231736320,凡女士,"[""数据分析师"",""数据挖掘工程师"",""其他""]",1,1,"[""北京市"",""北京市"",""东城区""]",无经验,无人盯防VVVF长发短发,3000,4000,1,"[""不限""]","[""北京市"",""北京市"",""东城区""]",随时到岗,[],,
72,1511539161700630528,测先生,"[""数据分析师""]",0,1,"[""北京市"",""北京市"",""东城区""]",无经验,1234,3000,6000,1,"[""金融"",""互联网""]","[""北京市"",""北京市"",""东城区""]",随时到岗,[],,
